order,ObjectID,ObjectName,CollectionID,Collection,DateBeginYear,DateEndYear,DateText,Title,Classification,Creator,PrimaryImage
1486,18467,drawings (visual works),7,18th and 19th Century Art,1862,1862,1862,Hawk Attacking Ducks,Painting & Drawing,"Philibert L\xc3\xa9on Couturier (French, 1823-1901)",http://static.thewalters.org/images/ARG_37.1604_Fnt_UK.jpg
1487,18471,paintings,8,Renaissance and Baroque Art,1701,1733,early 18th century,Hunting Party Before a Sutler's Tent,Painting & Drawing,"Carel van Falens (Flemish, 1683-1733)",http://static.thewalters.org/images/PL2_37.347_Fnt_BW_T92.jpg
1488,18479,drawings (visual works),7,18th and 19th Century Art,1862,1862,1862,Interior with Old Woman and Boy,Painting & Drawing,"Paul Constant Soyer (French, 1823-1903)",http://static.thewalters.org/images/PL1_37.1589_Fnt_TR_T02II.jpg
1489,18503,paintings,8,Renaissance and Baroque Art,1501,1600,16th century,Heads of Two Female Saints,Painting & Drawing,Venetian (Italian),http://static.thewalters.org/images/PL2_37.621_Fnt_NG_744.jpg
1490,18534,paintings; tangkas; tankas; thangkas; thankas,65,South and Southeast Asian Art,1700,1799,18th century,Vajrabhairava with Vajravetali,Painting & Drawing,Tibetan,http://static.thewalters.org/images/PS1_35.293_Det_DD_T17-tms.jpg
1491,18540,paintings; tangkas; tankas; thangkas; thankas,65,South and Southeast Asian Art,1500,1599,16th century,Mandala of Achala Chandamaharoshana,Painting & Drawing,Nepalese,http://static.thewalters.org/images/PS1_F.138_Det_DD_T17-tms.jpg
1492,18557,color woodcuts,1,East Asian Art,1899,1899,1899,Nogaku zue,Prints,"Sakamaki Kogyo (Japanese, 1869-1927)",http://static.thewalters.org/images/PS3_95.256_Fnt_DD_JP09.jpg
1493,18582,woodblock prints,1,East Asian Art,1848,1872,ca. 1860-69,Eating a Boxed Lunch at a Roadside Inn,Prints,"Utagawa Yoshitaki (Japanese, 1841-1899)",http://static.thewalters.org/images/PS3_95.96_Fnt_DD_JP09.jpg
1494,18598,drawings (visual works),7,18th and 19th Century Art,1860,1862,1860-1862,Daphnis and Chloe,Painting & Drawing,"Charles Gleyre (Swiss, 1806-1874)",http://static.thewalters.org/images/ARG_37.986_Fnt_UK.jpg
1495,18607,kakemono; scroll paintings,1,East Asian Art,1601,1700,17th century,Mountain Landscape,Painting & Drawing,Chinese,http://static.thewalters.org/images/PL9_35.4_Fnt_BW_C37.jpg
1496,18610,albums (books); watercolors,7,18th and 19th Century Art,1855,1859,1855-1859,Fran\xc3\xa7oise Ravel as the Conscript Recruit,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.2453.5_Fnt_DD_KI13.jpg
1497,18623,oil paintings (visual works),8,Renaissance and Baroque Art,1540,1549,1540-1549,David and Bathsheba,Painting & Drawing,"Paris Bordone (Italian, 1500-1571)",http://static.thewalters.org/images/PS1_37.2371_Fnt_DD_T16-tms.jpg
1498,18638,color woodcuts,1,East Asian Art,1854,1899,1854-1899,Kinsei eiyu kagami,Prints,"Shigekiyo (Japanese, active 1854-1899)",http://static.thewalters.org/images/PS3_95.381_Fnt_DD_JP09.jpg
1499,18652,color woodcuts,1,East Asian Art,0,0,None,Shiba Onko Breaks a Jar to Free a Friend,Prints,"Hokusai Katsushika (Japanese, 1760-1849) (?)",http://static.thewalters.org/images/PS3_95.150_Fnt_DD_JP09.jpg
1500,18653,color woodcuts,1,East Asian Art,1861,1861,1861,English Lady with Son and a Chinese Person,Prints,"Yoshifuji (Japanese, 1828-1887)",http://static.thewalters.org/images/PS3_95.290_Fnt_DD_JP091.jpg
1501,18667,watercolors (paintings),7,18th and 19th Century Art,1858,1860,1858-1860,Indian Encampment on the Eau Sucre River,Painting & Drawing,"Alfred Jacob Miller (American, 1810-1874)",http://static.thewalters.org/images/PS3_37.1940.136_Fnt_DD_KI13.jpg
1502,18671,watercolors (paintings),7,18th and 19th Century Art,1864,1864,1864,Woman Praying Beside Baby in Cradle,Painting & Drawing,"Paul Constant Soyer (French, 1823-1903)",http://static.thewalters.org/images/ARG_37.1333_Fnt_UK.jpg
1503,18677,watercolors (paintings),7,18th and 19th Century Art,1818,1842,ca. 1830,L'Eglise des Invalides,Painting & Drawing,"Fran\xc3\xa7ois-Etienne Villeret (French, ca. 1800-1866)",http://static.thewalters.org/images/ARG_37.1607_Fnt_BW.jpg
